distance_km,fuel_price,hour,day_of_week,traffic_level,weather,vehicle_type,fare
23.7,4420.97,1,3,1,0,Special Hire,30000
27.67,5205.7,5,2,2,0,Mini Bus,12500
13.41,4295.13,5,5,2,0,Taxi,11000
13.56,5433.73,18,3,3,0,Boda Boda,10000
24.49,4371.3,11,0,2,0,Boda Boda,12500
0.89,6148.23,18,0,2,0,Taxi,2000
36.67,5718.93,13,2,1,1,Special Hire,60000
30.82,5740.4,20,0,3,0,Special Hire,61500
34.18,5691.79,12,5,1,0,Taxi,23500
11.2,5936.38,6,3,1,0,Boda Boda,6000
11.87,6128.06,12,0,1,0,Boda Boda,6500
41.91,5984.25,14,4,1,0,Taxi,29000
21.6,5162.3,17,3,2,0,Mini Bus,9000
10.91,6357.61,1,3,1,0,Boda Boda,7500
40.66,4131.82,20,1,3,0,Taxi,32000
24.12,5907.11,14,1,2,0,Taxi,20000
12.02,5559.7,4,2,1,0,Special Hire,18000
27.93,4049.2,23,1,1,0,Mini Bus,9000
32.14,4023.49,8,6,3,0,Mini Bus,14000
19.04,6239.23,19,1,3,0,Mini Bus,11500
22.71,4123.68,9,0,3,0,Boda Boda,13500
3.63,5516.43,17,6,2,0,Boda Boda,3000
12.52,4030.25,22,1,1,1,Mini Bus,6000
33.12,5558.53,17,0,2,0,Boda Boda,19000
19.29,5619.24,19,4,3,0,Special Hire,37000
37.17,4876.46,12,0,1,0,Special Hire,42000
33.37,5438.5,22,3,1,0,Special Hire,49500
14.27,6458.96,16,4,1,1,Mini Bus,7500
7.24,6480.48,21,3,2,0,Mini Bus,4000
8.83,5272.18,14,0,1,1,Mini Bus,4500
10.47,5826.2,11,1,1,0,Special Hire,14500
2.78,6160.17,12,0,1,0,Mini Bus,2000
25.11,4650.96,7,4,3,0,Boda Boda,15500
2.76,4348.92,17,4,3,0,Boda Boda,3000
31.91,4184.01,16,1,1,1,Special Hire,43000
15.64,4713.83,7,6,3,1,Mini Bus,10000
5.46,4470.52,19,2,2,0,Taxi,4500
30.02,4990.42,18,6,3,0,Special Hire,54500
5.74,5561.22,13,4,1,0,Mini Bus,3000
32.55,4299.35,9,5,2,0,Taxi,22500
1.2,5282.95,20,3,3,0,Mini Bus,2000
20.21,4269.07,15,3,1,0,Mini Bus,6000
26.54,6498.99,5,4,1,0,Boda Boda,16000
20.24,6074.39,1,6,1,0,Special Hire,32000
31.75,5760.67,23,1,1,0,Special Hire,48500
33.68,5487.71,7,0,3,0,Special Hire,62000
16.36,5212.86,16,2,1,1,Mini Bus,7500
30.16,6389.0,14,5,1,0,Mini Bus,11000
29.05,4646.15,4,2,1,0,Mini Bus,10500
43.17,5081.6,23,2,1,0,Mini Bus,16000
12.27,4742.73,1,4,2,0,Special Hire,20000
6.57,5167.4,12,2,1,0,Taxi,5000
16.93,4812.44,6,6,1,0,Taxi,10500
29.28,4769.99,8,1,3,0,Boda Boda,18500
20.88,5749.58,23,2,2,1,Special Hire,47500
10.87,4154.58,17,6,3,0,Taxi,9500
7.64,5859.74,5,5,1,1,Mini Bus,5000
31.67,5900.98,23,6,1,0,Boda Boda,17500
6.85,4328.37,13,3,1,0,Taxi,4500
22.44,4749.96,23,2,1,0,Special Hire,30000
22.43,5865.88,3,6,1,0,Taxi,17500
40.23,5661.96,5,3,1,0,Taxi,31000
43.94,6247.61,4,1,1,0,Taxi,35000
13.55,5229.03,15,1,1,0,Boda Boda,7000
19.01,4081.51,23,2,1,0,Mini Bus,7000
13.97,5529.66,1,0,1,1,Boda Boda,10000
0.65,6355.67,3,1,1,0,Taxi,1500
24.48,4288.71,7,0,3,0,Special Hire,39500
14.99,5176.14,0,1,2,0,Boda Boda,10000
33.69,5690.66,7,6,3,0,Boda Boda,23500
43.18,5047.27,9,4,3,0,Boda Boda,28500
21.25,5711.61,18,2,2,0,Taxi,17000
16.84,5305.4,16,2,1,1,Special Hire,26500
17.68,5271.87,4,6,1,0,Special Hire,26000
25.45,5234.97,2,0,2,0,Boda Boda,16000
41.52,4842.91,8,0,3,0,Taxi,36500
33.31,4737.54,2,2,1,0,Special Hire,44500
19.02,4137.92,18,2,3,0,Boda Boda,11500
29.06,6029.41,12,2,1,0,Special Hire,39000
37.0,5401.76,11,0,1,1,Mini Bus,15500
43.68,4944.78,13,3,1,0,Mini Bus,13000
30.18,5802.4,12,4,1,0,Mini Bus,11000
7.12,5458.5,0,4,1,0,Taxi,6000
42.04,4144.49,15,0,1,0,Mini Bus,12000
21.69,4139.46,11,2,1,0,Mini Bus,6500
6.06,4337.76,20,1,3,1,Boda Boda,6000
12.8,6470.48,16,5,1,1,Boda Boda,9000
15.84,4429.84,5,1,1,0,Special Hire,21000
4.43,6376.0,22,1,1,0,Taxi,4500
10.78,5771.21,12,0,2,1,Mini Bus,6500
2.02,4343.63,16,1,1,1,Special Hire,4000
31.98,4474.13,19,3,3,1,Special Hire,64500
30.8,4418.48,19,4,3,0,Special Hire,51000
28.96,4979.74,21,2,2,1,Taxi,26500
28.64,4138.08,13,1,1,0,Mini Bus,8000
34.77,5927.84,2,3,2,0,Boda Boda,23000
1.01,5671.45,7,2,3,0,Boda Boda,2000
41.79,5103.67,8,4,2,0,Special Hire,61000
28.97,4515.91,16,4,1,0,Taxi,16500
19.3,5971.77,23,6,1,0,Mini Bus,8000
23.1,5972.88,8,3,3,0,Mini Bus,13000
34.18,5107.85,21,6,1,1,Special Hire,50000
14.96,5410.35,13,4,1,1,Mini Bus,7000
6.42,6498.02,5,5,1,0,Special Hire,11500
15.55,6457.03,20,0,3,0,Boda Boda,13000
39.32,5892.2,6,0,1,0,Special Hire,53000
40.6,4882.89,12,6,1,0,Taxi,24500
42.92,4604.5,5,3,2,0,Taxi,34500
13.83,5530.67,4,6,1,0,Special Hire,20500
28.04,4013.24,13,0,1,0,Special Hire,28500
42.64,4126.66,1,6,2,0,Mini Bus,16500
11.67,5468.42,1,5,1,0,Boda Boda,7000
14.35,4785.37,7,1,2,1,Taxi,14000
19.13,4313.29,11,4,1,0,Boda Boda,8000
18.24,6203.76,15,0,1,0,Special Hire,26500
44.43,5315.67,4,4,1,0,Special Hire,63500
28.56,5639.84,9,1,3,0,Special Hire,56500
23.93,5004.79,3,3,1,0,Special Hire,32000
21.93,6381.2,5,2,1,0,Mini Bus,10000
15.08,6330.24,1,5,1,0,Taxi,13000
38.61,4183.92,17,0,3,0,Mini Bus,16500
22.14,4395.49,19,0,3,0,Special Hire,37000
42.64,4465.7,2,3,2,0,Special Hire,66500
12.83,5822.99,20,1,3,0,Special Hire,26500
3.65,5628.19,0,4,1,0,Special Hire,6500
38.05,6146.82,20,1,3,0,Special Hire,78000
33.41,5355.64,6,4,1,0,Taxi,21000
11.47,6100.64,21,2,1,1,Mini Bus,6000
4.87,4131.02,2,1,1,0,Mini Bus,2500
7.34,5586.39,7,5,3,0,Boda Boda,6500
33.17,5454.71,22,1,1,0,Taxi,24000
10.4,4740.18,23,1,1,0,Special Hire,14500
42.61,4465.54,9,6,3,0,Taxi,36500
33.58,4696.68,22,5,1,0,Boda Boda,16000
12.68,6146.74,3,5,1,0,Special Hire,21000
21.01,5616.73,9,3,3,1,Boda Boda,19500
15.16,4178.27,12,5,1,0,Special Hire,16500
21.11,5691.11,17,3,3,1,Taxi,26500
14.52,5710.65,13,4,2,0,Boda Boda,9000
34.88,5846.15,10,1,1,0,Taxi,24000
39.04,5033.12,7,3,3,0,Special Hire,69000
34.41,4552.32,5,3,1,0,Special Hire,44500
20.19,5981.12,3,4,1,0,Mini Bus,9000
4.89,5756.52,1,3,1,1,Taxi,6000
1.97,4958.83,15,2,2,0,Taxi,2500
26.96,5087.91,16,0,1,1,Mini Bus,11500
11.68,4620.51,16,1,1,0,Taxi,7500
12.59,5407.14,2,0,1,0,Special Hire,19500
29.98,4520.34,15,5,1,0,Special Hire,34500
9.61,5813.54,17,2,2,1,Mini Bus,6000
39.84,5191.71,16,6,1,0,Taxi,24500
14.45,5593.03,12,3,1,0,Taxi,10000
18.1,6325.98,12,0,2,0,Special Hire,30500
10.41,6421.39,0,6,2,0,Mini Bus,6500
9.52,4100.84,14,4,2,0,Special Hire,12500
8.54,4318.1,17,6,3,1,Mini Bus,6000
29.56,5048.8,17,5,3,1,Special Hire,66500
22.0,4475.47,14,6,1,0,Boda Boda,9000
34.77,5301.1,22,3,1,0,Taxi,25500
44.59,4043.92,10,4,1,0,Boda Boda,17000
13.34,5600.18,16,6,1,0,Boda Boda,7000
23.83,5137.11,17,6,3,0,Mini Bus,12500
1.99,6011.98,14,3,1,0,Mini Bus,1500
0.7,6331.76,16,6,1,0,Boda Boda,1500
35.22,5933.11,21,5,1,0,Boda Boda,17000
40.19,4745.02,8,6,2,0,Taxi,29000
42.58,5482.2,15,0,1,0,Taxi,28000
43.99,6193.92,19,4,3,1,Mini Bus,30500
19.77,5125.33,23,0,1,0,Boda Boda,10500
40.52,4877.41,0,4,1,0,Boda Boda,19500
9.59,6166.89,9,3,3,0,Special Hire,21000
19.89,4562.38,3,4,1,0,Special Hire,26000
42.93,4521.53,6,2,1,0,Mini Bus,12500
36.81,4025.59,1,4,1,0,Mini Bus,11500
44.56,5179.49,9,4,3,0,Taxi,42500
25.5,5790.75,9,6,3,1,Special Hire,63000
43.88,5785.89,15,6,1,0,Mini Bus,15500
36.02,6114.57,6,3,1,0,Taxi,25000
18.98,4388.25,15,5,1,0,Mini Bus,6000
20.1,5180.5,14,2,1,1,Mini Bus,9000
30.99,5028.05,13,0,1,0,Mini Bus,10000
20.4,6009.47,8,5,3,0,Boda Boda,15500
37.87,6320.34,20,5,3,1,Special Hire,99000
42.33,4203.46,13,1,1,0,Mini Bus,11500
10.93,5416.84,10,0,2,1,Boda Boda,8500
30.94,5739.2,1,6,1,0,Special Hire,45500
41.02,4324.9,5,1,1,0,Special Hire,51500
13.44,6065.13,9,5,3,0,Boda Boda,11000
44.91,6322.41,19,1,3,0,Mini Bus,24000
22.9,4490.41,9,0,3,0,Taxi,20000
39.52,4553.01,17,2,3,0,Special Hire,65000
7.33,5483.06,17,3,3,0,Mini Bus,5000
35.86,6172.9,14,1,1,0,Boda Boda,18000
43.58,5075.08,2,0,1,0,Boda Boda,21500
17.32,6248.63,1,2,1,0,Mini Bus,7500
20.17,4516.78,2,2,1,1,Taxi,17500
4.04,5579.95,15,1,1,0,Boda Boda,2500
4.05,6247.39,12,0,1,0,Taxi,4000
28.26,6380.84,16,6,1,0,Special Hire,39000
15.76,4681.78,9,2,3,0,Taxi,15000
26.25,4583.34,6,1,1,1,Boda Boda,14000
41.36,6023.84,15,6,1,1,Taxi,36000
43.45,6198.33,6,2,1,0,Boda Boda,21000
32.17,5095.44,23,1,2,0,Taxi,27500
30.67,5905.52,4,3,1,1,Boda Boda,21000
5.97,6190.9,20,0,3,0,Special Hire,13000
2.79,4538.29,9,6,3,0,Taxi,4000
5.38,5888.3,21,2,1,0,Boda Boda,3500
42.98,6088.82,21,1,1,0,Boda Boda,21000
38.35,4893.74,23,6,2,0,Special Hire,62000
13.23,4441.4,10,4,1,0,Taxi,8000
13.5,4013.39,9,2,3,0,Taxi,11500
0.75,4423.28,12,0,1,0,Special Hire,2000
33.53,4599.61,20,1,3,0,Mini Bus,15500
4.47,5052.73,9,2,3,1,Mini Bus,4500
19.32,5697.97,19,2,2,0,Mini Bus,8500
17.53,5598.56,16,3,1,0,Special Hire,22500
11.59,4766.33,4,5,1,1,Special Hire,20000
14.28,6063.83,21,4,1,0,Mini Bus,5500
26.39,5515.56,15,6,1,0,Special Hire,34000
23.71,5702.3,2,4,1,0,Special Hire,36000
35.07,4310.84,13,5,2,0,Boda Boda,17000
25.42,6058.62,6,5,1,0,Mini Bus,9500
39.25,5238.5,19,5,3,0,Special Hire,72000
36.92,5452.35,23,3,1,0,Taxi,27500
23.24,4065.66,15,4,2,1,Taxi,19000
34.0,4833.7,13,5,1,1,Mini Bus,13500
17.76,4223.0,23,1,1,0,Boda Boda,8500
43.61,6073.53,12,4,2,0,Special Hire,71000
24.21,5929.15,19,3,3,0,Boda Boda,18500
29.12,4155.45,8,3,3,0,Mini Bus,13000
7.14,5069.07,13,6,1,0,Taxi,5000
32.56,6136.21,20,2,3,1,Special Hire,86000
7.19,4635.76,23,4,1,1,Mini Bus,4000
16.8,4211.88,19,4,3,0,Taxi,15000
17.6,4823.61,6,6,2,0,Special Hire,25500
32.02,5086.92,4,0,2,0,Mini Bus,14500
17.87,5076.93,12,1,2,0,Special Hire,27000
35.75,5297.61,11,1,1,0,Special Hire,45500
20.97,4937.24,15,0,1,0,Taxi,13500
8.34,5254.69,14,1,1,1,Special Hire,14000
21.23,5258.39,9,6,3,1,Mini Bus,14000
12.81,4528.93,3,6,2,0,Special Hire,21000
43.89,4950.25,16,6,1,1,Mini Bus,16500
4.44,6300.36,10,6,1,0,Taxi,4000
28.06,6370.27,8,3,2,0,Taxi,24500
24.18,5329.67,20,0,3,0,Special Hire,45000
1.25,4883.17,23,0,1,0,Boda Boda,2000
39.59,6127.97,23,1,2,0,Taxi,38500
6.18,6489.7,18,6,3,1,Taxi,10000
42.44,6420.34,23,5,2,1,Special Hire,103500
43.9,5263.42,12,3,1,0,Taxi,26500
36.02,4929.3,16,0,1,0,Taxi,21500
41.62,4925.5,4,6,1,0,Taxi,28000
14.08,5080.64,14,6,1,0,Boda Boda,6500
11.41,4462.64,23,6,1,0,Mini Bus,4500
12.85,5522.44,19,1,3,0,Boda Boda,10000
12.66,4342.37,2,4,1,0,Boda Boda,6500
28.89,6332.08,21,2,1,0,Boda Boda,14500
38.54,4470.22,5,6,2,1,Mini Bus,20000
2.91,4738.95,3,1,1,0,Boda Boda,2500
40.58,4699.18,6,0,1,0,Taxi,24000
41.64,4927.78,22,3,2,0,Mini Bus,17500
16.95,5993.36,19,5,3,0,Taxi,18000
31.0,5754.06,8,6,3,1,Mini Bus,20500
41.03,4795.2,2,0,1,0,Mini Bus,14500
39.1,5699.65,14,0,2,0,Boda Boda,22500
0.94,4164.36,15,4,1,0,Boda Boda,1500
15.34,5768.66,4,0,1,0,Taxi,12000
18.39,4049.9,13,0,1,0,Taxi,10500
1.21,6193.14,21,2,1,0,Mini Bus,1500
19.6,5622.25,1,0,2,0,Special Hire,35000
14.43,5386.02,14,5,1,0,Special Hire,18000
20.77,5240.3,9,4,3,0,Taxi,20000
36.78,5864.55,17,6,3,0,Mini Bus,19500
25.21,5387.57,18,6,3,0,Mini Bus,13000
20.08,4772.33,0,5,1,0,Mini Bus,7500
8.4,4697.64,20,2,3,1,Taxi,10500
42.39,6056.91,0,4,1,0,Taxi,34000
16.15,6438.2,0,6,2,0,Special Hire,32000
28.25,4223.62,2,3,1,1,Mini Bus,12000
15.92,4040.62,14,1,1,0,Mini Bus,5000
3.58,6003.13,21,4,1,0,Special Hire,5500
28.18,4141.66,19,4,2,1,Special Hire,43500
18.59,4528.05,11,2,1,0,Taxi,11000
15.7,5170.53,11,1,1,0,Mini Bus,5500
2.3,6286.11,3,6,1,0,Taxi,3000
26.46,4905.52,2,5,1,0,Taxi,19000
8.07,5873.09,4,6,1,0,Mini Bus,4000
43.49,5104.79,21,3,1,0,Boda Boda,19000
39.01,4472.98,16,0,2,0,Special Hire,52500
3.01,4355.26,10,0,1,1,Mini Bus,2000
0.73,4737.63,12,0,1,0,Taxi,1500
18.75,4943.93,9,2,3,0,Boda Boda,12500
35.19,6395.95,14,5,1,0,Mini Bus,13000
21.7,5013.97,13,3,1,0,Boda Boda,9500
13.39,5398.96,9,4,2,0,Taxi,11000
10.97,5031.46,19,0,3,0,Special Hire,21500
36.29,4990.6,19,3,3,0,Mini Bus,17500
36.15,5172.52,23,3,1,0,Taxi,26000
0.87,4471.39,19,5,2,1,Boda Boda,2000
24.68,4367.08,1,2,1,0,Mini Bus,8500
26.13,5765.6,9,4,3,0,Boda Boda,19500
4.81,4833.84,7,5,3,1,Taxi,7000
29.4,4628.76,20,4,3,0,Special Hire,51000
26.75,4564.0,21,0,1,1,Special Hire,37000
11.39,5500.48,19,3,2,0,Mini Bus,5500
20.89,4004.25,10,1,2,0,Special Hire,26500
17.11,4490.89,3,1,1,0,Mini Bus,6500
22.99,5514.31,4,1,1,0,Boda Boda,13000
10.43,4792.76,23,0,2,0,Mini Bus,5500
31.9,4319.88,17,6,3,0,Taxi,26000
29.14,4465.7,20,0,3,0,Boda Boda,18000
8.54,4525.77,11,1,1,0,Special Hire,10000
26.09,5993.13,17,1,3,0,Taxi,27000
29.17,4954.78,15,5,1,0,Special Hire,34000
41.39,4721.04,12,3,1,1,Boda Boda,21000
44.56,6290.25,9,2,3,0,Special Hire,91000
20.35,5733.68,20,0,3,0,Mini Bus,11000
26.86,5636.3,12,0,1,0,Special Hire,35000
28.61,5398.87,10,1,1,0,Special Hire,37000
32.68,5303.21,10,6,1,0,Boda Boda,15000
31.82,4558.05,20,6,3,0,Taxi,28000
19.03,5274.03,23,2,1,1,Boda Boda,13000
30.22,4965.71,13,5,1,0,Mini Bus,9500
30.56,4069.23,17,2,2,1,Mini Bus,13500
1.06,4797.39,22,5,2,0,Taxi,2000
37.92,5867.14,4,4,2,0,Mini Bus,18500
37.36,5621.47,16,5,1,0,Special Hire,48500
28.71,5637.26,19,2,2,0,Taxi,23500
41.39,6313.24,10,4,1,0,Boda Boda,21500
6.45,6335.0,13,6,1,0,Boda Boda,4000
35.86,4337.37,12,2,2,0,Mini Bus,13000
43.35,5841.29,7,0,2,0,Mini Bus,18500
19.89,5824.7,8,2,3,1,Taxi,26500
16.49,5691.74,15,3,1,0,Mini Bus,6500
44.21,4201.76,15,1,1,0,Special Hire,47500
7.49,4651.05,1,2,1,0,Mini Bus,3500
8.11,6312.63,12,6,2,0,Mini Bus,4500
40.31,4154.11,3,0,1,0,Boda Boda,18000
39.54,5545.62,8,2,3,0,Boda Boda,27500
25.02,4907.84,23,0,1,0,Boda Boda,13000
5.56,5785.69,4,0,1,0,Mini Bus,3500
11.31,6041.99,18,0,3,1,Mini Bus,9000
36.13,5240.99,9,2,2,0,Special Hire,53500
17.88,4813.07,13,3,1,0,Boda Boda,8000
18.46,4093.13,11,5,1,0,Special Hire,20000
8.68,5625.99,1,5,1,0,Taxi,7500
41.21,6297.73,21,4,1,0,Mini Bus,15000
38.93,4900.88,13,1,1,0,Mini Bus,12000
1.1,4975.97,23,4,1,0,Special Hire,2500
4.08,6298.87,9,0,3,0,Mini Bus,3500
37.07,5857.06,0,6,1,0,Boda Boda,21000
24.14,4452.43,20,4,2,0,Mini Bus,9000
37.61,4538.77,18,1,3,0,Special Hire,62000
32.12,4870.2,6,0,1,0,Taxi,19000
39.42,6044.34,8,4,3,0,Taxi,40500
33.31,5715.93,3,2,2,1,Special Hire,76500
30.62,6099.95,19,6,2,1,Boda Boda,23000
17.37,5731.06,4,4,2,0,Taxi,17000
38.25,4252.97,0,2,1,0,Taxi,24500
34.3,6017.99,5,0,1,0,Special Hire,52000
16.72,5073.63,13,5,1,0,Mini Bus,6000
24.0,6173.23,1,2,1,0,Special Hire,38000
4.14,4686.98,12,0,1,0,Taxi,3500
23.82,4098.16,4,6,1,0,Taxi,15000
2.7,5720.83,7,5,3,0,Mini Bus,3000
0.69,5213.6,8,3,2,0,Boda Boda,1500
3.95,6213.39,22,1,1,0,Taxi,4500
26.63,6194.78,16,6,1,0,Taxi,19000
40.92,5768.15,1,4,1,0,Taxi,31000
41.93,5671.68,23,2,1,1,Boda Boda,29000
16.64,5176.44,3,4,1,1,Taxi,16000
14.8,4966.36,6,5,1,0,Special Hire,18000
17.09,6069.7,16,0,2,0,Special Hire,29500
38.41,4550.9,1,6,1,0,Special Hire,48000
43.34,6387.69,18,3,3,0,Special Hire,89500
14.93,4899.54,13,0,1,0,Taxi,10000
39.22,5898.59,10,5,1,0,Taxi,27500
11.29,4755.92,1,4,1,0,Boda Boda,6500
12.12,5430.58,8,1,2,0,Boda Boda,7500
32.08,4649.2,13,4,1,0,Taxi,18500
23.95,6229.36,23,4,1,0,Special Hire,38500
41.29,6088.91,9,3,2,0,Taxi,33500
26.56,5729.81,4,3,1,0,Mini Bus,10500
1.17,5881.76,13,4,2,0,Boda Boda,2000
25.29,4428.11,19,6,3,0,Boda Boda,16000
23.31,4880.79,2,0,1,1,Mini Bus,11500
22.6,4536.64,9,4,2,0,Special Hire,31500
10.16,5076.02,20,4,2,0,Boda Boda,6000
6.33,6299.16,11,0,1,0,Mini Bus,3000
13.59,6190.68,9,2,3,0,Boda Boda,11000
18.59,5319.98,7,2,3,0,Boda Boda,13500
30.23,5560.91,8,3,3,0,Taxi,30000
33.42,6138.03,10,6,1,0,Boda Boda,17000
7.69,5581.14,17,6,3,1,Special Hire,20000
4.03,5026.19,6,6,1,0,Special Hire,6000
20.91,5437.13,1,2,1,0,Mini Bus,8500
18.67,5311.32,3,1,1,0,Taxi,14000
41.55,5567.52,22,4,1,0,Taxi,30500
32.11,5056.68,5,1,1,0,Taxi,23000
41.57,6398.03,14,4,1,0,Mini Bus,15000
19.34,4233.87,11,0,2,0,Taxi,13000
8.38,5404.8,1,5,1,1,Taxi,8500
40.46,5123.37,1,2,1,0,Taxi,29500
16.05,5945.5,12,0,1,0,Boda Boda,8500
5.44,4549.57,15,0,1,0,Taxi,4000
6.83,4277.68,15,5,1,0,Boda Boda,3500
40.87,5403.18,22,3,1,0,Mini Bus,15000
21.97,4696.09,0,2,2,0,Special Hire,34500
9.53,5102.34,5,5,1,0,Boda Boda,6000
0.76,5476.45,2,6,1,0,Boda Boda,1500
13.25,5268.49,22,2,1,0,Mini Bus,6000
13.8,5073.33,22,4,1,0,Mini Bus,6000
20.69,4451.89,14,2,1,0,Boda Boda,8500
2.6,5003.96,11,1,2,0,Boda Boda,2500
39.99,4056.32,1,5,1,0,Special Hire,48000
9.92,4062.55,7,2,2,0,Mini Bus,4500
4.18,4350.16,18,1,3,1,Taxi,6000
41.5,5991.67,21,2,1,0,Mini Bus,14500
41.6,4603.14,7,4,2,0,Mini Bus,15000
27.0,6199.9,11,1,2,0,Taxi,23500
12.8,5505.18,23,0,1,0,Taxi,10000
36.67,4538.19,7,4,3,0,Boda Boda,23000
39.45,6294.55,18,4,2,0,Mini Bus,17000
24.53,4128.9,19,4,3,0,Taxi,20500
20.69,5588.48,22,1,2,0,Boda Boda,13500
17.04,4348.2,1,5,1,0,Mini Bus,6000
17.8,5158.61,5,6,1,0,Taxi,13000
21.59,6262.88,14,4,1,0,Boda Boda,11000
7.97,6489.14,9,0,3,0,Taxi,10000
44.38,4648.77,11,6,1,0,Mini Bus,13500
39.03,6145.74,0,6,1,0,Mini Bus,16000
35.75,5443.59,16,2,1,0,Special Hire,46000
13.4,5547.35,3,2,1,0,Boda Boda,7500
42.23,5979.39,8,4,3,0,Mini Bus,23000
4.97,4617.95,16,5,1,0,Taxi,3500
19.96,5363.24,13,6,1,0,Taxi,13000
15.71,6161.16,18,1,3,0,Taxi,17000
38.87,5269.65,14,2,1,0,Taxi,23500
16.78,6354.61,13,0,1,0,Mini Bus,6500
11.98,5240.61,2,4,2,0,Mini Bus,6500
41.7,5265.98,21,2,1,1,Special Hire,66000
9.41,5860.67,16,1,1,0,Mini Bus,4000
10.21,4524.76,8,4,3,0,Taxi,10000
29.61,5260.12,11,6,1,1,Special Hire,46500
31.93,5812.33,23,0,1,1,Mini Bus,16000
41.69,5559.05,9,4,2,0,Mini Bus,16500
37.26,4009.97,22,6,1,1,Special Hire,54500
34.33,6481.09,12,4,2,0,Mini Bus,15500
38.75,5093.87,23,4,1,0,Mini Bus,14500
21.78,4382.79,1,4,2,1,Special Hire,41500
11.69,5398.76,12,6,1,0,Special Hire,15500
16.1,5295.29,22,1,2,1,Boda Boda,13500
2.47,6081.27,7,4,3,0,Special Hire,6500
19.79,5236.84,2,1,1,1,Taxi,18500
39.71,5117.24,1,5,1,0,Taxi,27500
13.52,5649.31,9,6,3,0,Mini Bus,8000
31.95,4670.37,22,6,1,0,Taxi,21000
30.79,5865.76,16,5,2,1,Boda Boda,22500
29.7,4546.86,7,2,3,0,Mini Bus,13500
40.14,4515.02,2,2,1,0,Mini Bus,13500
9.79,6186.81,19,2,3,0,Taxi,11500
37.38,4186.48,6,0,1,0,Mini Bus,10500
10.48,5221.02,13,5,1,0,Special Hire,14000
33.41,4246.86,11,3,1,0,Mini Bus,10000
34.35,4591.47,17,1,2,0,Mini Bus,12000
12.16,4353.69,8,5,3,0,Mini Bus,6000
6.91,5234.39,20,6,3,1,Boda Boda,7000
32.67,5282.26,15,3,1,0,Boda Boda,14500
32.3,5551.09,22,5,2,0,Mini Bus,15500
29.13,4251.53,5,6,1,0,Mini Bus,10000
33.35,4812.67,9,2,3,0,Special Hire,58500
25.83,5421.71,14,0,1,0,Taxi,17000
7.73,4131.14,7,6,3,0,Taxi,7000
44.65,4782.96,13,6,2,0,Mini Bus,16000
25.08,5242.22,12,5,1,0,Mini Bus,8500
27.58,4218.15,1,2,1,0,Mini Bus,9500
37.75,5224.56,18,3,3,0,Boda Boda,26000
7.62,4150.9,15,5,1,1,Mini Bus,3500
26.04,6276.16,20,5,2,0,Taxi,22000
26.75,4320.33,4,2,1,0,Taxi,17500
18.38,6029.09,13,4,1,1,Taxi,16500
14.62,6186.85,1,3,2,0,Taxi,15000
29.38,5564.5,18,3,2,0,Special Hire,44500
24.17,5321.47,10,4,1,0,Special Hire,31000
35.92,6424.21,10,4,1,0,Mini Bus,13500
17.85,4577.67,21,3,1,0,Mini Bus,6000
4.51,5615.7,12,1,2,0,Special Hire,8000
2.58,6209.26,4,3,1,0,Taxi,3000
2.38,5151.64,5,1,2,0,Taxi,3500
19.96,5751.13,19,4,2,0,Special Hire,32500
44.74,6245.71,14,5,1,0,Boda Boda,22500
25.37,5553.53,5,6,1,0,Mini Bus,10000
37.21,4251.18,6,1,1,0,Boda Boda,14000
14.4,5052.2,6,4,1,0,Taxi,9500
20.51,5295.49,1,0,1,0,Taxi,15500
42.11,5807.13,11,6,1,0,Special Hire,56000
36.63,4850.63,1,0,1,0,Boda Boda,17500
28.89,4718.51,20,0,2,0,Taxi,20500
37.66,6342.91,8,6,2,0,Mini Bus,16500
2.67,6489.7,11,5,1,0,Boda Boda,2500
27.27,5251.03,10,6,1,0,Mini Bus,9000
11.37,4178.46,3,4,1,0,Boda Boda,6000
8.91,6431.42,5,0,1,0,Boda Boda,6000
20.5,5501.6,0,4,1,0,Mini Bus,8500
3.31,4136.34,10,2,2,0,Taxi,3000
18.19,4249.93,15,5,1,0,Boda Boda,8000
3.75,5315.16,15,6,2,0,Taxi,4000
2.0,4988.94,9,1,3,1,Boda Boda,3500
37.73,4433.63,21,4,2,0,Mini Bus,13000
20.3,6444.07,10,6,1,0,Boda Boda,11000
42.45,5387.06,15,5,1,0,Boda Boda,19500
44.98,6288.01,2,5,1,0,Taxi,35500
34.2,4520.62,0,3,1,0,Taxi,22000
32.04,5954.43,13,0,1,0,Mini Bus,11500
41.0,5870.65,15,0,1,0,Mini Bus,14500
25.3,5976.13,14,3,2,0,Taxi,21500
31.06,5714.35,10,0,1,1,Special Hire,49500
36.3,5658.39,13,5,1,0,Mini Bus,12000
7.45,5407.27,4,6,2,0,Boda Boda,5500
26.24,6043.35,16,1,1,0,Special Hire,36000
5.46,5305.52,10,4,1,0,Taxi,4500
34.94,5820.6,1,1,1,0,Mini Bus,14500
43.64,4890.17,12,1,1,0,Mini Bus,13500
21.28,4934.55,6,4,1,0,Mini Bus,7500
38.67,4988.05,14,4,2,0,Taxi,27500
3.04,5790.27,17,0,3,0,Mini Bus,3000
20.94,6482.51,16,4,1,0,Special Hire,30500
28.69,6242.9,19,0,3,0,Boda Boda,22000
39.07,4276.46,11,5,1,0,Mini Bus,11000
